web-scraper-order,web-scraper-start-url,Category,Category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating,products-review
1605354643-674,https://www.banglashoppers.com/,Hot Offers!,https://www.banglashoppers.com/hot-offers.html,Neutrogena Oil Free Moisturiser For Combination Skin - 118ml,https://www.banglashoppers.com/neutrogena-oil-free-moisturiser-for-combination-skin-118ml.html,Neutrogena Oil Free Moisturiser For Combination Skin - 118ml,899,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/n/e/neutrogena_oil_free_moisture_-_combination_skin_-_118ml_1.jpg,0,0
1605348369-189,https://www.banglashoppers.com/,Mens Products,https://www.banglashoppers.com/mens-products.html,Clear Shampoo Men Cool Sport Menthol Anti Dandruff 180ml,https://www.banglashoppers.com/clear-shampoo-men-cool-sport-menthol-anti-dandruff-180ml.html,Clear Shampoo Men Cool Sport Menthol Anti Dandruff 180ml,240,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/c/l/clcsm180h.jpg,0,0
1605354449-657,https://www.banglashoppers.com/,Hot Offers!,https://www.banglashoppers.com/hot-offers.html,Argan Oil Night Repair Serum - 30ml,https://www.banglashoppers.com/argan-oil-night-repair-serum-30ml.html,Argan Oil Night Repair Serum - 30ml,315,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/a/r/argan_oil_night_repair_serum_-_30ml.jpg,0,0
1605353557-572,https://www.banglashoppers.com/,Makeup Shop,https://www.banglashoppers.com/makeup-shop.html,Simple Kind To Skin Dual Effect Eye Makeup Remover - 125ml,https://www.banglashoppers.com/simple-kind-to-skin-dual-effect-eye-makeup-remover-125ml.html,Simple Kind To Skin Dual Effect Eye Makeup Remover - 125ml,480,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/s/i/simple_kind_to_skin_dual_effect_eye_makeup_remover_-_125ml.jpg,0,0
1605351879-456,https://www.banglashoppers.com/,Bath & Body Shop,https://www.banglashoppers.com/bath-body-shop.html,Dettol Soap Cool Bathing Bar Soap 125gm,https://www.banglashoppers.com/dettol-soap-cool-bathing-bar-soap-125gm.html,Dettol Soap Cool Bathing Bar Soap 125gm,58,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/8/9/8941100283189.jpg,0,0
1605347233-84,https://www.banglashoppers.com/,Perfume Shop,https://www.banglashoppers.com/perfume-shop.html,Nivea Anti-Perspirant Protect & Care Deodorant Roll On - 50ml,https://www.banglashoppers.com/nivea-anti-perspirant-protect-care-deodorant-roll-on-50ml.html,Nivea Anti-Perspirant Protect & Care Deodorant Roll On - 50ml,200,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/1/_/1_6.jpg,0,0
1605353638-591,https://www.banglashoppers.com/,Makeup Shop,https://www.banglashoppers.com/makeup-shop.html,Absolute New York Supreme Slim Demi Matte Lipstick - English Rose - MLSS53 - 1.3gm,https://www.banglashoppers.com/absolute-new-york-supreme-slim-demi-matte-lipstick-english-rose-mlss53-1-3gm.html,Absolute New York Supreme Slim Demi Matte Lipstick - English Rose - MLSS53 - 1.3gm,675,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/a/b/absolute_new_york_supreme_slim_demi_matte_lipstick_-_english_rose_-_mlss53_-_1.3gm.jpg,0,0
1605348138-162,https://www.banglashoppers.com/,Mens Products,https://www.banglashoppers.com/mens-products.html,Studio X Clean & Strong Styling Shampoo For Men - 175ml,https://www.banglashoppers.com/studio-x-clean-strong-styling-shampoo-for-men-175ml.html,Studio X Clean & Strong Styling Shampoo For Men - 175ml,168,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/s/t/studio_x_clean_strong_shampoo_for_men_175ml.png,0,0
1605354819-691,https://www.banglashoppers.com/,Hot Offers!,https://www.banglashoppers.com/hot-offers.html,Good Night Skin Care Combo 001,https://www.banglashoppers.com/night-time-skincare-combo-1.html,Good Night Skin Care Combo 001,3199,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/n/i/night-time-skincare-combo.jpg,0,0
1605348033-155,https://www.banglashoppers.com/,Mens Products,https://www.banglashoppers.com/mens-products.html,Himalaya Herbals Men Power Glow Licorice Face Wash - 100ml,https://www.banglashoppers.com/himalaya-herbals-men-power-glow-licorice-face-wash-100ml.html,Himalaya Herbals Men Power Glow Licorice Face Wash - 100ml,200,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/4/w/4w9a9820-_1.jpg,0,0
