web-scraper-order,web-scraper-start-url,category,category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating,,,,,,,,
1603718529-375,https://www.daraz.com.bd/,Auto Oils & Fluids,https://www.daraz.com.bd/oils-fluids/,Havoline Super 4T SAE 20W 50 (API SL JASO MA2) - Motorcycle Engine Oil- 1L,https://www.daraz.com.bd/products/havoline-super-4t-sae-20w-50-api-sl-jaso-ma2-motorcycle-engine-oil-1l-i100378233-s1014312342.html?search=1,Havoline Super 4T SAE 20W 50 (API SL JASO MA2) - Motorcycle Engine Oil- 1L,400,https://static-01.daraz.com.bd/p/2999b954028ea2fc874543045a98c716.jpg_720x720q75.jpg_.webp,3.9,,,,,,,,
1603717742-219,https://www.daraz.com.bd/,Interior Vehicle Care,https://www.daraz.com.bd/interior-care/?spm=a2a0e.pdp.breadcrumb.3.7571265e1sc5X8,TOTAL HIGH PRESSURE WASHER 1800W (TGT11356),https://www.daraz.com.bd/products/total-high-pressure-washer-1800w-tgt11356-i128160978-s1048080077.html?search=1,TOTAL HIGH PRESSURE WASHER 1800W (TGT11356),11500,https://static-01.daraz.com.bd/p/4b2e76d9e4e1a715f5edeed3c2f2ad82.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717331-134,https://www.daraz.com.bd/,Car Audio,https://www.daraz.com.bd/car-audio/,Ahuja SSB-120 Wattage PA Mixer Amplifiers - 120 Watts,https://www.daraz.com.bd/products/ahuja-ssb-120-wattage-pa-mixer-amplifiers-120-watts-i145042502-s1070048823.html?search=1,Ahuja SSB-120 Wattage PA Mixer Amplifiers - 120 Watts,18719,https://static-01.daraz.com.bd/p/29602a0a801a29238868e94405c5290e.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717664-201,https://www.daraz.com.bd/,Interior Vehicle Care,https://www.daraz.com.bd/interior-care/?spm=a2a0e.pdp.breadcrumb.3.7571265e1sc5X8,Super Suction Car Vacuum Cleaner - White and Black,https://www.daraz.com.bd/products/super-suction-car-vacuum-cleaner-white-and-black-i100692025-s1014668036.html?search=1,Super Suction Car Vacuum Cleaner - White and Black,999,https://static-01.daraz.com.bd/p/24c5382ce19fe67aae49228a4521760c.jpg_720x720q75.jpg_.webp,5,,,,,,,,
1603717464-163,https://www.daraz.com.bd/,Car Electronics Accessories,https://www.daraz.com.bd/car-electronics-accessories/?spm=a2a0e.searchlist.breadcrumb.4.759170731SA4sH,"Fault Code Alarm Display Car HUD Head-Up Display  Definition LCD Screen Slope Indicator Land Meter with LED Light for Off-Road Vehicle SUV , Car HUD - black",https://www.daraz.com.bd/products/fault-code-alarm-display-car-hud-head-up-display-definition-lcd-screen-slope-indicator-land-meter-with-led-light-for-off-road-vehicle-suv-car-hud-black-i152734231-s1080796605.html?search=1,"Fault Code Alarm Display Car HUD Head-Up Display  Definition LCD Screen Slope Indicator Land Meter with LED Light for Off-Road Vehicle SUV , Car HUD - black",3196,https://static-01.daraz.com.bd/p/de7c4debd8ac6667b03278cc5b30c63e.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603718589-387,https://www.daraz.com.bd/,Auto Oils & Fluids,https://www.daraz.com.bd/oils-fluids/,Liqui Moly 10W-40 Street Synthetic Technology Engine Oil - 1 Litre,https://www.daraz.com.bd/products/liqui-moly-10w-40-street-synthetic-technology-engine-oil-1-litre-i139004575-s1062064033.html?search=1,Liqui Moly 10W-40 Street Synthetic Technology Engine Oil - 1 Litre,700,https://static-01.daraz.com.bd/p/mdc/fc1f7ea35a175d8ad22e21fd87511f80.jpg_720x720q75.jpg_.webp,5,,,,,,,,
1603716818-28,https://www.daraz.com.bd/,Motorcycle Riding Gear,https://www.daraz.com.bd/motorcycle-riding-gear/,motorcycle dust cover for Sports and cruiser bike,https://www.daraz.com.bd/products/motorcycle-dust-cover-for-sports-and-cruiser-bike-i153274916-s1081682062.html?search=1,motorcycle dust cover for Sports and cruiser bike,450,https://static-01.daraz.com.bd/p/3928c6d98a6640e4a55cae87d20696c7.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603716860-37,https://www.daraz.com.bd/,Motorcycle Riding Gear,https://www.daraz.com.bd/motorcycle-riding-gear/,Baby Bike Helmet for Babies 2- 6 years - BLUE,https://www.daraz.com.bd/products/baby-bike-helmet-for-babies-2-6-years-blue-i152756855-s1080858585.html?search=1,Baby Bike Helmet for Babies 2- 6 years - BLUE,600,https://static-01.daraz.com.bd/p/3e2effcc337c0127dd950657e912e802.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717003-66,https://www.daraz.com.bd/,Moto Parts & Accessories,https://www.daraz.com.bd/motorcycle-parts-spares/,1Pc ABS Windshield WindScreen Wind Deflectors Double Bubble For Yamaha YZF-R25 2014 2015 2016 YZF-R3 2015 2016,https://www.daraz.com.bd/products/1pc-abs-windshield-windscreen-wind-deflectors-double-bubble-for-yamaha-yzf-r25-2014-2015-2016-yzf-r3-2015-2016-i153238422-s1081612302.html?search=1,1Pc ABS Windshield WindScreen Wind Deflectors Double Bubble For Yamaha YZF-R25 2014 2015 2016 YZF-R3 2015 2016,2824,https://static-01.daraz.com.bd/p/fcff851ccf8af83bb65affcffa47919b.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603718643-398,https://www.daraz.com.bd/,Auto Oils & Fluids,https://www.daraz.com.bd/oils-fluids/,Havoline Super 4T SAE 10W 30 (API SL JASO MA2) - Motorcycle Engine Oil- 1L,https://www.daraz.com.bd/products/havoline-super-4t-sae-10w-30-api-sl-jaso-ma2-motorcycle-engine-oil-1l-i100382179-s1014305445.html?search=1,Havoline Super 4T SAE 10W 30 (API SL JASO MA2) - Motorcycle Engine Oil- 1L,400,https://static-01.daraz.com.bd/p/68193c711d2858398fb2501e904d6d75.jpg_720x720q75.jpg_.webp,4.6,,,,,,,,
1603718119-292,https://www.daraz.com.bd/,Exterior Accessories,https://www.daraz.com.bd/exterior-accessories/,"Carbon Fiber Car Ignition Device Button Engine Start Stop Switch Sticker for Chevrolet Camaro 2016-2019 Accessories , Start Stop Switch Sticker - Red",https://www.daraz.com.bd/products/carbon-fiber-car-ignition-device-button-engine-start-stop-switch-sticker-for-chevrolet-camaro-2016-2019-accessories-start-stop-switch-sticker-red-i152758116-s1080840459.html?search=1,"Carbon Fiber Car Ignition Device Button Engine Start Stop Switch Sticker for Chevrolet Camaro 2016-2019 Accessories , Start Stop Switch Sticker - Red",949,https://static-01.daraz.com.bd/p/3ecdbcade3892175067bcfda7e44bac8.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717847-241,https://www.daraz.com.bd/,Exterior Vehicle Care,https://www.daraz.com.bd/automotive-exterior-vehicle-care/?spm=a2a0e.searchlist.breadcrumb.4.5e3f7bcajkpofL,Flamingo Injector & Choke Cleaner 450 ML,https://www.daraz.com.bd/products/flamingo-injector-choke-cleaner-450-ml-i151250873-s1078308450.html?search=1,Flamingo Injector & Choke Cleaner 450 ML,350,https://static-01.daraz.com.bd/p/ea3eefb9e906adc8dc234a4190d82673.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717228-110,https://www.daraz.com.bd/,Motorcycle,https://www.daraz.com.bd/automotive-motorcycles/,3D UNIVERSAL Carbon Fiber Tank Pad Protector Sticker For Motorcycle Tank Protector,https://www.daraz.com.bd/products/3d-universal-carbon-fiber-tank-pad-protector-sticker-for-motorcycle-tank-protector-i152836028-s1080936834.html?search=1,3D UNIVERSAL Carbon Fiber Tank Pad Protector Sticker For Motorcycle Tank Protector,149,https://static-01.daraz.com.bd/p/53020c131d7c8cc67b988c18b012f4b1.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717164-99,https://www.daraz.com.bd/,Motorcycle,https://www.daraz.com.bd/automotive-motorcycles/,Handel Gutli Laser For Bike Colour - GOLD,https://www.daraz.com.bd/products/handel-gutli-laser-for-bike-colour-gold-i153706618-s1082414156.html?search=1,Handel Gutli Laser For Bike Colour - GOLD,1060,https://static-01.daraz.com.bd/p/a181b97a8baaaa94d9e111e8817e15dd.jpg_720x720q75.jpg_.webp,0,,,,,,,,
