web-scraper-order,web-scraper-start-url,category-link,category-link-href,subcategory,subcategory-href,product-link,product-link-href,product-name,product-price,product-image-src,rating
"1602741024-188","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Earphone","https://phonesellbd.com/product-category/earphones-headphones/earphone/","OnePlus Bullets Wireless 2 Earphone","https://phonesellbd.com/shop/oneplus-bullets-wireless-2-earphone/","OnePlus Bullets Wireless 2 Earphone","৳ 5,490.00","https://phonesellbd.com/wp-content/uploads/2020/01/Oneplus-Bullet-weirless2.png","There are no reviews yet."
"1602741185-215","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Google","https://phonesellbd.com/product-category/smartphone/google/","GOOGLE PIXEL 3 XL 128GB","https://phonesellbd.com/shop/google-pixel-3-xl-128gb/","GOOGLE PIXEL 3 XL 128GB","৳ 76,990.00","https://phonesellbd.com/wp-content/uploads/2019/06/Google_Pixel_3xl_1.jpg","null"
"1602741011-186","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Earphone","https://phonesellbd.com/product-category/earphones-headphones/earphone/","Plextone DX2 gaming earbuds","https://phonesellbd.com/shop/plextone-dx2-gaming-earbuds/","Plextone DX2 gaming earbuds","৳ 1,250.00","https://phonesellbd.com/wp-content/uploads/2020/07/Plextone-DX2-1.jpg","There are no reviews yet."
"1602741312-234","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung","https://phonesellbd.com/product-category/smartphone/samsung/","SAMSUNG GALAXY S10plus 8GB 128GB","https://phonesellbd.com/shop/samsung-galaxy-s10plus-8gb-128gb/","SAMSUNG GALAXY S10plus 8GB 128GB","৳ 66,990.00","https://phonesellbd.com/wp-content/uploads/2019/05/Galaxy_S10Plus_3.jpg","There are no reviews yet."
"1602741549-264","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Apple","https://phonesellbd.com/product-category/smartphone/apple/","Apple IPad Pro 11 (2020) 512GB Wifi","https://phonesellbd.com/shop/apple-ipad-pro-11-2020-512gb-wifi/","Apple IPad Pro 11 (2020) 512GB Wifi","৳ 114,990.00","","There are no reviews yet."
"1602741561-266","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Apple","https://phonesellbd.com/product-category/smartphone/apple/","Apple IPad Pro 11 (2020) 256GB Wi-Fi + Cellular","https://phonesellbd.com/shop/apple-ipad-pro-11-2020-256gb-wi-fi-cellular/","Apple IPad Pro 11 (2020) 256GB Wi-Fi + Cellular","৳ 119,990.00","","There are no reviews yet."
"1602740966-179","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Wireless Headphone","https://phonesellbd.com/product-category/earphones-headphones/wireless-headphone/","Awei X660BL Quad-core Necked Magnetic Bluetooth Earphone","https://phonesellbd.com/shop/awei-x660bl-quad-core-necked-magnetic-bluetooth-earphone/","Awei X660BL Quad-core Necked Magnetic Bluetooth Earphone","৳ 1,690.00","https://phonesellbd.com/wp-content/uploads/2020/09/awei-x660bl-quad-core-necked-magnetic-bluetooth-earphone.jpg","There are no reviews yet."
"1602740815-159","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung Samratwatch","https://phonesellbd.com/product-category/smartwatch/samsung-smartwatch/","SAMSUNG GALAXY WATCH 46MM","https://phonesellbd.com/shop/samsung-galaxy-watch-46mm/","SAMSUNG GALAXY WATCH 46MM","৳ 22,990.00","https://phonesellbd.com/wp-content/uploads/2019/07/Galaxy_watch_46MM.jpg","There are no reviews yet."
"1602741468-254","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Xiaomi","https://phonesellbd.com/product-category/smartphone/xiaomi/","POCO X2 6GB 128GB","https://phonesellbd.com/shop/poco-x2-6gb-128gb/","POCO X2 6GB 128GB","৳ 25,990.00","","There are no reviews yet."
"1602740940-175","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Wireless Headphone","https://phonesellbd.com/product-category/earphones-headphones/wireless-headphone/","OnePlus Bullets Wireless Z","https://phonesellbd.com/shop/oneplus-bullets-wireless-z/","OnePlus Bullets Wireless Z","৳ 3,390.00","https://phonesellbd.com/wp-content/uploads/2020/07/Oneplus-bullets-wereless-z.jpg","There are no reviews yet."
