web-scraper-order,web-scraper-start-url,category,category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating
1605179151-335,https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/smartphone.html,vivo V20 8GB/128GB,https://www.pickaboo.com/vivo-v20-8gb-128gb.html,vivo V20 8GB/128GB,32990,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/v/i/vivo-v20-8gb-128gb-new-content-image.jpg,4.1
1605178701-288,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,vivo Y20 4GB/64GB,https://www.pickaboo.com/vivo-y20-4gb-64gb.html,vivo Y20 4GB/64GB,14990,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/v/i/vivo-y20-4gb-64gb-new-content-image.jpg,4.4
1605178466-256,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,Sup M3 Game Box Built in 900 Retro Classic Games in Mini Handheld Console,https://www.pickaboo.com/sup-m3-game-box-built-in-900-retro-classic-games-in-mini-handheld-console.html,Sup M3 Game Box Built in 900 Retro Classic Games in Mini Handheld Console,1449,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/s/u/sup-m3-game-box-built-in-900--red-1.jpg,2.9
1605178355-242,https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/lifestyle.html,Victoria’s Secret You Should Be Dancing Fragrance Mist 250ml,https://www.pickaboo.com/victoria-s-secret-you-should-be-dancing-fragrance-mist-250ml.html,Victoria’s Secret You Should Be Dancing Fragrance Mist 250ml,1450,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/v/i/victoria_s-secret-you-should-be-dancing-fragrance-mist-250ml.jpg,0
1605179019-323,https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/feature-phone.html,Nokia 2720 Flip 4G,https://www.pickaboo.com/nokia-2720-flip-4g.html,Nokia 2720 Flip 4G,8499,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/n/o/nokia-2720-flip-4g-base.jpg,0
1605178940-315,https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/feature-phone.html,Nokia 105 DS (2019),https://www.pickaboo.com/nokia-105-ds-2019.html,Nokia 105 DS (2019),2100,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/n/o/nokia-105-brand.jpg,4.5
1605179027-324,https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/feature-phone.html,Nokia 150 DS 2020,https://www.pickaboo.com/nokia-150-ds-2020.html,Nokia 150 DS 2020,2999,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/n/o/nokia-150-ds-base.jpg,0
1605178763-297,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,SS Glass holder,https://www.pickaboo.com/ss-glass-holder.html,SS Glass holder,1150,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/g/l/glass-holder.jpg,0
1605178403-247,https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/lifestyle.html,Victoria's Secret Aqua Kiss Body Mist 250 ml for Women,https://www.pickaboo.com/victoria-s-secret-aqua-kiss-body-mist-250-ml-for-women.html,Victoria's Secret Aqua Kiss Body Mist 250 ml for Women,1450,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/v/i/victoria_secret_aqua_kiss.jpg,0
1605178746-294,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,Silver Crest Mini Portable Juicer,https://www.pickaboo.com/silver-crest-mini-portable-juicer.html,Silver Crest Mini Portable Juicer,1900,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/s/i/silver-1_1.jpg,0
